Mandarin,Pinyin,English,Pinyin/English
的 ,de  ,of ,de  of 
我 ,wǒ  ,i ,wǒ  i 
你 ,nǐ  ,you ,nǐ  you 
了 ,le  ,completion particle,le  completion particle
是 ,shì  ,yes ,shì  yes 
在 ,zài  ,exist ,zài  exist 
他 ,tā  ,he ,tā  he 
我们 ,wǒmen  ,us ,wǒmen  us 
不 ,bù  ,no ,bù  no 
吗 ,ma  ,yes/no question particle,ma  yes/no question particle
好 ,hǎo  ,good ,hǎo  good 
什么 ,shénme  ,what ,shénme  what 
有 ,yǒu  ,have ,yǒu  have 
就 ,jiù  ,at once ,jiù  at once 
吧 ,ba,suggestion particle,ba suggestion particle
她 ,tā  ,she ,tā  she 
这 ,zhè  ,this ,zhè  this 
知道 ,zhīdào  ,know ,zhīdào  know 
说 ,shuō  ,explain ,shuō  explain 
都 ,doū,all ,doūall 
去 ,qù  ,go ,qù  go 
很 ,hěn  ,very ,hěn  very 
啊 ,a  ,ah ,a  ah 
要 ,yào  ,want ,yào  want 
也 ,yě  ,also ,yě  also 
他们 ,tāmen  ,them ,tāmen  them 
和 ,hé  ,and ,hé  and 
那 ,nà  ,that ,nà  that 
想 ,xiǎng  ,think ,xiǎng  think 
人 ,rén  ,people ,rén  people 
会 ,huì  ,meeting ,huì  meeting 
一个 ,yīgè  ,one ,yīgè  one 
来 ,lái  ,come ,lái  come 
把 ,bǎ  ,preposition marking the object of an action,bǎ  preposition marking the object of an action
对 ,duì  ,correct,duì  correct
没有 ,méiyǒu  ,no ,méiyǒu  no 
做 ,zuò  ,do ,zuò  do 
不是 ,bùshì  ,no ,bùshì  no 
让 ,ràng  ,let ,ràng  let 
给 ,gěi  ,give ,gěi  give 
可以 ,kěyǐ  ,can ,kěyǐ  can 
你们 ,nǐmen  ,you ,nǐmen  you 
呢 ,ne  ,question particle,ne  question particle
但 ,dàn  ,but ,dàn  but 
到 ,dào  ,arrive ,dào  arrive 
还 ,huán  ,return ,huán  return 
现在 ,xiànzài  ,now ,xiànzài  now 
这个 ,zhège  ,this ,zhège  this 
能 ,néng  ,able ,néng  able 
怎么 ,zěnme  ,how ,zěnme  how 
就是 ,jiùshì  ,that is ,jiùshì  that is 
跟 ,gēn  ,and ,gēn  and 
如果 ,rúguǒ  ,if ,rúguǒ  if 
没 ,méi  ,without ,méi  without 
它 ,tā  ,it ,tā  it 
走 ,zǒu  ,walk ,zǒu  walk 
上 ,shàng  ,above,shàng  above
得 ,dé  ,have to ,dé  have to 
被 ,bèi  ,quilt ,bèi  quilt 
这里 ,zhèlǐ  ,here ,zhèlǐ  here 
这样 ,zhèyàng  ,this way,zhèyàng  this way
看 ,kàn  ,look ,kàn  look 
事 ,shì  ,thing,shì  thing
自己 ,zìjǐ  ,self,zìjǐ  self
着 ,zhe  ,with,zhe  with
谁 ,shéi  ,who ,shéi  who 
过 ,guò  ,pass ,guò  pass 
不会 ,bùhuì  ,won't ,bùhuì  won't 
告诉 ,gàosu  ,tell ,gàosu  tell 
为什么 ,wèishénme  ,why ,wèishénme  why 
不能 ,bùnéng  ,cannot ,bùnéng  cannot 
真的 ,zhēnde  ,real ,zhēnde  real 
先生 ,xiānsheng  ,gentlemen ,xiānsheng  gentlemen 
只是 ,zhǐshì  ,only ,zhǐshì  only 
不要 ,bùyào  ,don't want ,bùyào  don't want 
这是 ,zhèshì  ,this is ,zhèshì  this is 
已经 ,yǐjīng  ,already ,yǐjīng  already 
再 ,zài  ,again ,zài  again 
哦 ,ó  ,oh ,ó  oh 
需要 ,xūyào  ,need ,xūyào  need 
因为 ,yīnwèi  ,because ,yīnwèi  because 
谢谢 ,xièxie  ,thanks ,xièxie  thanks 
像 ,xiàng  ,picture ,xiàng  picture 
这么 ,zhème  ,so,zhème  so
可能 ,kěnéng  ,possible ,kěnéng  possible 
但是 ,dànshì  ,but ,dànshì  but 
那个 ,nàgè  ,that ,nàgè  that 
所以 ,suǒyǐ  ,so ,suǒyǐ  so 
喜欢 ,xǐhuan  ,like ,xǐhuan  like 
又 ,yòu  ,again ,yòu  again 
叫 ,jiào  ,call ,jiào  call 
快 ,kuài  ,quick ,kuài  quick 
我要 ,wǒyào  ,i want ,wǒyào  i want 
觉得 ,juéde  ,feel ,juéde  feel 
别 ,bié  ,don't ,bié  don't 
听 ,tīng  ,listen ,tīng  listen 
找 ,zhǎo  ,try to find ,zhǎo  try to find 
里 ,lǐ  ,inside ,lǐ  inside 
还有 ,háiyǒu  ,besides ,háiyǒu  besides 
时候 ,shíhou  ,when ,shíhou  when 
东西 ,dōngxi  ,thing ,dōngxi  thing 
等 ,děng  ,wait ,děng  wait 
死 ,sǐ  ,die ,sǐ  die 
多 ,duō  ,many ,duō  many 
从 ,cóng  ,from ,cóng  from 
我会 ,wǒhuì  ,i can ,wǒhuì  i can 
一起 ,yīqǐ  ,together ,yīqǐ  together 
应该 ,yīnggāi  ,should ,yīnggāi  should 
我們 ,wǒmen  ,we ,wǒmen  we 
这些 ,zhèxiē  ,these ,zhèxiē  these 
请 ,qǐng  ,please ,qǐng  please 
孩子 ,háizi  ,child ,háizi  child 
看到 ,kàndào  ,see ,kàndào  see 
一下 ,yīxià  ,one time ,yīxià  one time 
那么 ,nàme  ,so ,nàme  so 
为 ,wéi  ,for ,wéi  for 
嗎 ,ma  ,?,ma  ?
而 ,ér  ,and ,ér  and 
您 ,nín  ,you ,nín  you 
才 ,cái  ,talent ,cái  talent 
用 ,yòng  ,use ,yòng  use 
还是 ,háishi  ,still ,háishi  still 
嗯 ,en  ,um ,en  um 
问题 ,wèntí  ,question ,wèntí  question 
工作 ,gōngzuò  ,work ,gōngzuò  work 
一样 ,yīyàng  ,same ,yīyàng  same 
呀 ,ya  ,ah ,ya  ah 
开始 ,kāishǐ  ,start ,kāishǐ  start 
吃 ,chī  ,eat ,chī  eat 
嘿 ,hēi  ,hey ,hēi  hey 
当 ,dāng  ,when ,dāng  when 
真 ,zhēn  ,real ,zhēn  real 
中 ,zhōng  ,middle ,zhōng  middle 
然后 ,ránhòu  ,then ,ránhòu  then 
看看 ,kànkan  ,have a look ,kànkan  have a look 
說 ,shuō  ,say ,shuō  say 
地方 ,dìfāng  ,place ,dìfāng  place 
一定 ,yīdìng  ,must ,yīdìng  must 
将 ,jiàng  ,will ,jiàng  will 
希望 ,xīwàng  ,hope ,xīwàng  hope 
朋友 ,péngyou  ,friend ,péngyou  friend 
今天 ,jīntiān  ,today ,jīntiān  today 
拿 ,ná  ,take ,ná  take 
一 ,yī  ,one ,yī  one 
啦 ,lā  ,la,lā  la
事情 ,shìqing  ,matter ,shìqing  matter 
一直 ,yīzhí  ,always ,yīzhí  always 
所有 ,suǒyǒu  ,all ,suǒyǒu  all 
找到 ,zhǎodào  ,turn up ,zhǎodào  turn up 
什麼 ,shénme  ,what ,shénme  what 
哪 ,nǎ  ,where ,nǎ  where 
当然 ,dāngrán  ,certainly ,dāngrán  certainly 
们 ,men  ,them,men  them
回来 ,huílai  ,return ,huílai  return 
不想 ,bùxiǎng  ,in no mood ,bùxiǎng  in no mood 
更 ,gēng  ,even ,gēng  even 
最 ,zuì  ,most ,zuì  most 
帮 ,bāng  ,help ,bāng  help 
没事 ,méishì  ,fine ,méishì  fine 
只 ,zhǐ  ,only ,zhǐ  only 
那些 ,nàxiē  ,those ones ,nàxiē  those ones 
可 ,kě  ,can ,kě  can 
明白 ,míngbai  ,clear ,míngbai  clear 
的话 ,dehuà  ,words,dehuà  words
爸爸 ,bàba  ,dad ,bàba  dad 
下 ,xià  ,down ,xià  down 
太 ,tài  ,too ,tài  too 
离开 ,líkāi  ,leave ,líkāi  leave 
一切 ,yīqiè  ,everything ,yīqiè  everything 
时间 ,shíjiān  ,time ,shíjiān  time 
相信 ,xiāngxìn  ,believe ,xiāngxìn  believe 
妈妈 ,māma  ,mother ,māma  mother 
想要 ,xiǎngyào  ,want to ,xiǎngyào  want to 
爱 ,ài  ,like ,ài  like 
打 ,dǎ  ,beat ,dǎ  beat 
点 ,diǎn  ,point ,diǎn  point 
來 ,lái  ,come ,lái  come 
钱 ,qián  ,money ,qián  money 
大 ,dà  ,big ,dà  big 
起来 ,qǐlai  ,stand up ,qǐlai  stand up 
真是 ,zhēnshi  ,really,zhēnshi  really
你好 ,nǐhǎo  ,hello ,nǐhǎo  hello 
抱歉 ,bàoqiàn  ,feel sorry ,bàoqiàn  feel sorry 
必须 ,bìxū  ,must ,bìxū  must 
认为 ,rènwéi  ,think ,rènwéi  think 
一点 ,yīdiǎn  ,a little ,yīdiǎn  a little 
非常 ,fēicháng  ,very ,fēicháng  very 
那里 ,nàli  ,there ,nàli  there 
对不起 ,duìbuqǐ  ,sorry ,duìbuqǐ  sorry 
天 ,tiān  ,sky ,tiān  sky 
也许 ,yěxǔ  ,maybe ,yěxǔ  maybe 
大家 ,dàjiā  ,everyone ,dàjiā  everyone 
哪里 ,nǎlǐ  ,where ,nǎlǐ  where 
有人 ,yǒurén  ,someone,yǒurén  someone
该 ,gāi  ,should ,gāi  should 
意思 ,yìsi  ,mean ,yìsi  mean 
杀 ,shā  ,kill ,shā  kill 
准备 ,zhǔnbèi  ,prepare ,zhǔnbèi  prepare 
并 ,bìng  ,and ,bìng  and 
出来 ,chūlái  ,come out ,chūlái  come out 
与 ,yǔ  ,and ,yǔ  and 
时 ,shí  ,hour ,shí  hour 
不过 ,bùguò  ,but ,bùguò  but 
一些 ,yīxiē  ,some ,yīxiē  some 
为了 ,wèile  ,for ,wèile  for 
带 ,dài  ,bring ,dài  bring 
女人 ,nǚrén  ,woman ,nǚrén  woman 
这儿 ,zhèr  ,here,zhèr  here
后 ,hòu  ,back ,hòu  back 
只有 ,zhǐyǒu  ,only ,zhǐyǒu  only 
过来 ,guòlái  ,come over ,guòlái  come over 
比 ,bǐ  ,compare ,bǐ  compare 
一次 ,yīcì  ,once ,yīcì  once 
得到 ,dédào  ,get ,dédào  get 
и ,и  ,и,и  и
很多 ,hěnduō  ,a lot of ,hěnduō  a lot of 
任何 ,rènhé  ,any ,rènhé  any 
这种 ,zhèzhǒng  ,this kind of,zhèzhǒng  this kind of
小 ,xiǎo  ,small ,xiǎo  small 
怎么样 ,zěnmeyàng  ,how about it ,zěnmeyàng  how about it 
對 ,duì  ,right ,duì  right 
感觉 ,gǎnjué  ,feel ,gǎnjué  feel 
年 ,nián  ,year ,nián  year 
是不是 ,shìbùshì  ,yes or no ,shìbùshì  yes or no 
以为 ,yǐwéi  ,think ,yǐwéi  think 
而且 ,érqiě  ,and ,érqiě  and 
前 ,qián  ,forward ,qián  forward 
生活 ,shēnghuó  ,life ,shēnghuó  life 
男人 ,nánrén  ,man ,nánrén  man 
之前 ,zhīqián  ,before ,zhīqián  before 
喂 ,wèi  ,hello ,wèi  hello 
问 ,wèn  ,ask ,wèn  ask 
发现 ,fāxiàn  ,discover ,fāxiàn  discover 
噢 ,ō  ,oh ,ō  oh 
可是 ,kěshì  ,but ,kěshì  but 
快点 ,kuàidiǎn  ,hurry up ,kuàidiǎn  hurry up 
嗨 ,hāi  ,hi ,hāi  hi 
妈 ,mā  ,mom ,mā  mom 
两个 ,liǎnggè  ,two ,liǎnggè  two 
不用 ,bùyòng  ,need not ,bùyòng  need not 
地 ,dì  ,land ,dì  land 
向 ,xiàng  ,towards ,xiàng  towards 
名字 ,míngzì  ,name ,míngzì  name 
没错 ,méicuò  ,that's right,méicuò  that's right
见 ,jiàn  ,see ,jiàn  see 
世界 ,shìjiè  ,world ,shìjiè  world 
沒 ,méi  ,not ,méi  not 
记得 ,jìde  ,remember ,jìde  remember 
住 ,zhù  ,live ,zhù  live 
新 ,xīn  ,new ,xīn  new 
不错 ,bùcuò  ,good ,bùcuò  good 
肯定 ,kěndìng  ,affim ,kěndìng  affim 
最好 ,zuìhǎo  ,best,zuìhǎo  best
不行 ,bùxíng  ,no ,bùxíng  no 
等等 ,děngděng  ,wait ,děngděng  wait 
嘛 ,ma  ,well,ma  well
出去 ,chūqù  ,go out ,chūqù  go out 
么 ,me  ,what?,me  what?
先 ,xiān  ,first ,xiān  first 
為 ,wéi  ,for ,wéi  for 
亲爱 ,qīnài  ,dear,qīnài  dear
或 ,huò  ,or ,huò  or 
担心 ,dānxīn  ,worry ,dānxīn  worry 
如何 ,rúhé  ,how ,rúhé  how 
到底 ,dàodǐ  ,in the end ,dàodǐ  in the end 
有点 ,yǒudiǎn  ,a bit,yǒudiǎn  a bit
最后 ,zuìhòu  ,at last ,zuìhòu  at last 
小姐 ,xiǎojie  ,miss ,xiǎojie  miss 
上帝 ,shàngdì  ,god,shàngdì  god
认识 ,rènshi  ,know ,rènshi  know 
會 ,huì  ,can ,huì  can 
正在 ,zhèngzài  ,are,zhèngzài  are
那样 ,nàyàng  ,that way,nàyàng  that way
父亲 ,fùqīn  ,father ,fùqīn  father 
高兴 ,gāoxìng  ,happy ,gāoxìng  happy 
明天 ,míngtiān  ,tomorrow ,míngtiān  tomorrow 
重要 ,zhòngyào  ,important ,zhòngyào  important 
跑 ,pǎo  ,run ,pǎo  run 
警察 ,jǐngchá  ,police ,jǐngchá  police 
只要 ,zhǐyào  ,if only ,zhǐyào  if only 
干什么 ,gànshénme  ,what to do,gànshénme  what to do
好像 ,hǎoxiàng  ,like ,hǎoxiàng  like 
再见 ,zàijiàn  ,goodbye ,zàijiàn  goodbye 
月 ,yuè  ,moon ,yuè  moon 
我能 ,wǒnéng  ,i can,wǒnéng  i can
继续 ,jìxù  ,continue ,jìxù  continue 
出 ,chū  ,out ,chū  out 
今晚 ,jīnwǎn  ,tonight ,jīnwǎn  tonight 
他妈的 ,tāmāde  ,damn it ,tāmāde  damn it 
回家 ,huíjiā  ,go home ,huíjiā  go home 
它们 ,tāmen  ,them,tāmen  them
多少 ,duōshǎo  ,how many ,duōshǎo  how many 
电话 ,diànhuà  ,telephone ,diànhuà  telephone 
听到 ,tīngdào  ,hear,tīngdào  hear
干嘛 ,gànmá  ,what ,gànmá  what 
干 ,gān  ,dry ,gān  dry 
医生 ,yīshēng  ,doctor ,yīshēng  doctor 
要是 ,yàoshi  ,if,yàoshi  if
女孩 ,nǚhái  ,girl ,nǚhái  girl 
這 ,zhè  ,this ,zhè  this 
所 ,suǒ  ,place ,suǒ  place 
讓 ,ràng  ,let ,ràng  let 
马上 ,mǎshàng  ,immediately ,mǎshàng  immediately 
过去 ,guòqu  ,past ,guòqu  past 
以前 ,yǐqián  ,before ,yǐqián  before 
儿子 ,érzi  ,son ,érzi  son 
哪儿 ,nǎr  ,where,nǎr  where
说话 ,shuōhuà  ,say ,shuōhuà  say 
买 ,mǎi  ,purchase ,mǎi  purchase 
看起来 ,kànqǐlai  ,it seems,kànqǐlai  it seems
一個 ,yīgè  ,one,yīgè  one
完全 ,wánquán  ,completely ,wánquán  completely 
该死 ,gāisǐ  ,damn it,gāisǐ  damn it
美国 ,měiguó  ,usa ,měiguó  usa 
怎样 ,zěnyàng  ,how,zěnyàng  how
回去 ,huíqu  ,go back ,huíqu  go back 
以 ,yǐ  ,by ,yǐ  by 
却 ,què  ,but ,què  but 
其他 ,qítā  ,other ,qítā  other 
永远 ,yǒngyuǎn  ,forever ,yǒngyuǎn  forever 
家伙 ,jiāhuo  ,guy,jiāhuo  guy
之后 ,zhīhòu  ,after ,zhīhòu  after 
怎麼 ,zěnme  ,how,zěnme  how
看见 ,kànjiàn  ,see,kànjiàn  see
或者 ,huòzhě  ,or ,huòzhě  or 
小心 ,xiǎoxīn  ,careful ,xiǎoxīn  careful 
行 ,xíng  ,ok ,xíng  ok 
别人 ,biéren  ,others,biéren  others
成为 ,chéngwéi  ,become,chéngwéi  become
写 ,xiě  ,write ,xiě  write 
不到 ,bùdào  ,less than,bùdào  less than
情况 ,qíngkuàng  ,condition ,qíngkuàng  condition 
送 ,sòng  ,deliver ,sòng  deliver 
伙计 ,huǒji  ,man,huǒji  man
一天 ,yītiān  ,one day ,yītiān  one day 
玩 ,wán  ,play ,wán  play 
见到 ,jiàndào  ,see,jiàndào  see
放 ,fàng  ,put ,fàng  put 
晚上 ,wǎnshàng  ,night ,wǎnshàng  night 
喝 ,hē  ,drink ,hē  drink 
总是 ,zǒngshì  ,always ,zǒngshì  always 
好好 ,hǎohǎo  ,well ,hǎohǎo  well 
琌 ,琌  ,琌,琌  琌
号 ,hào  ,number ,hào  number 
如此 ,rúcǐ  ,in this way ,rúcǐ  in this way 
家 ,jiā  ,home ,jiā  home 
坐 ,zuò  ,sit ,zuò  sit 
了解 ,liǎojiě  ,learn ,liǎojiě  learn 
有没有 ,yǒuméiyǒu  ,is there any,yǒuméiyǒu  is there any
兄弟 ,xiōngdì  ,brother ,xiōngdì  brother 
没什么 ,méishénme  ,nothing ,méishénme  nothing 
我来 ,wǒlái  ,i'll come,wǒlái  i'll come
结束 ,jiéshù  ,finish ,jiéshù  finish 
机会 ,jīhuì  ,chance ,jīhuì  chance 
已 ,yǐ  ,already ,yǐ  already 
安全 ,ānquán  ,safety ,ānquán  safety 
拜托 ,bàituō  ,please,bàituō  please
决定 ,juédìng  ,decide ,juédìng  decide 
穿 ,chuān  ,wear ,chuān  wear 
确定 ,quèdìng  ,sure ,quèdìng  sure 
里面 ,lǐmiàn  ,in ,lǐmiàn  in 
呃 ,è  ,well ,è  well 
怎么办 ,zěnmebàn  ,what to do ,zěnmebàn  what to do 
还好 ,háihǎo  ,fine ,háihǎo  fine 
无法 ,wúfǎ  ,unable,wúfǎ  unable
小时 ,xiǎoshí  ,hour ,xiǎoshí  hour 
站 ,zhàn  ,stand ,zhàn  stand 
清楚 ,qīngchu  ,clear ,qīngchu  clear 
错 ,cuò  ,wrong ,cuò  wrong 
這個 ,zhège  ,this ,zhège  this 
帮助 ,bāngzhù  ,help ,bāngzhù  help 
长官 ,zhǎngguān  ,sir,zhǎngguān  sir
公司 ,gōngsī  ,company ,gōngsī  company 
打电话 ,dǎdiànhuà  ,call up ,dǎdiànhuà  call up 
房子 ,fángzi  ,house ,fángzi  house 
根本 ,gēnběn  ,fundamental,gēnběn  fundamental
懂 ,dǒng  ,understand ,dǒng  understand 
办法 ,bànfǎ  ,method,bànfǎ  method
不管 ,bùguǎn  ,in spite of ,bùguǎn  in spite of 
混蛋 ,húndàn  ,asshole ,húndàn  asshole 
关于 ,guānyú  ,about ,guānyú  about 
搞 ,gǎo  ,do,gǎo  do
计划 ,jìhuà  ,plan ,jìhuà  plan 
唯一 ,wéiyī  ,only ,wéiyī  only 
来说 ,láishuō  ,let’s talk,láishuō  let’s talk
女儿 ,nǚér  ,daughter ,nǚér  daughter 
看着 ,kànzhe  ,watching,kànzhe  watching
宝贝 ,bǎobèi  ,baby ,bǎobèi  baby 
每个 ,měige  ,each,měige  each
怎么回事 ,zěnmehuíshì  ,what's going on,zěnmehuíshì  what's going on
個 ,gè  ,piece ,gè  piece 
其实 ,qíshí  ,actually ,qíshí  actually 
漂亮 ,piàoliang  ,pretty ,piàoliang  pretty 
黑体 ,hēitǐ  ,black body,hēitǐ  black body
這樣 ,zhèyàng  ,this way,zhèyàng  this way
车 ,chē  ,car ,chē  car 
人们 ,rénmen  ,people,rénmen  people
真正 ,zhēnzhèng  ,real ,zhēnzhèng  real 
甚至 ,shènzhì  ,even ,shènzhì  even 
那边 ,nàbian  ,over there,nàbian  over there
弄 ,nòng  ,alley ,nòng  alley 
开 ,kāi  ,open ,kāi  open 
不好 ,bùhǎo  ,not good ,bùhǎo  not good 
喔 ,ō  ,oh ,ō  oh 
回 ,huí  ,return,huí  return
进来 ,jìnlái  ,come in ,jìnlái  come in 
裏 ,lǐ  ,inside,lǐ  inside
夫人 ,fūren  ,madam,fūren  madam
之 ,zhī  ,of ,zhī  of 
ぃ ,ぃ  ,ぃ,ぃ  ぃ
愿意 ,yuànyì  ,willing ,yuànyì  willing 
麻烦 ,máfan  ,trouble ,máfan  trouble 
睡 ,shuì  ,sleep ,shuì  sleep 
哇 ,wā  ,wow ,wā  wow 
就要 ,jiùyào  ,want,jiùyào  want
打算 ,dǎsuàn  ,intend ,dǎsuàn  intend 
完 ,wán  ,over ,wán  over 
故事 ,gùshi  ,story ,gùshi  story 
一种 ,yīzhǒng  ,a sort of ,yīzhǒng  a sort of 
害怕 ,hàipà  ,fear ,hàipà  fear 
救 ,jiù  ,save,jiù  save
手 ,shǒu  ,hand ,shǒu  hand 
房间 ,fángjiān  ,room ,fángjiān  room 
由 ,yóu  ,depend on ,yóu  depend on 
後 ,hòu  ,back ,hòu  back 
那儿 ,nàr  ,there,nàr  there
衣服 ,yīfú  ,clothing ,yīfú  clothing 
枪 ,qiāng  ,gun,qiāng  gun
母亲 ,mǔqīn  ,mother ,mǔqīn  mother 
另 ,lìng  ,other ,lìng  other 
下来 ,xiàlai  ,come down,xiàlai  come down
听说 ,tīngshuō  ,heard,tīngshuō  heard
不了 ,buliǎo  ,no more,buliǎo  no more
注意 ,zhùyì  ,notice ,zhùyì  notice 
改变 ,gǎibiàn  ,change ,gǎibiàn  change 
这次 ,zhècì  ,this time ,zhècì  this time 
這是 ,zhèshì  ,this is,zhèshì  this is
没关系 ,méiguānxi  ,it doesn't matter ,méiguānxi  it doesn't matter 
接受 ,jiēshòu  ,accept ,jiēshòu  accept 
妻子 ,qīzi  ,wife ,qīzi  wife 
老 ,lǎo  ,old ,lǎo  old 
失去 ,shīqù  ,lose ,shīqù  lose 
回到 ,huídào  ,return to,huídào  return to
們 ,men  ,them,men  them
以后 ,yǐhòu  ,after ,yǐhòu  after 
话 ,huà  ,talk ,huà  talk 
是否 ,shìfǒu  ,whether ,shìfǒu  whether 
疯 ,fēng  ,crazy,fēng  crazy
生命 ,shēngmìng  ,life ,shēngmìng  life 
她们 ,tāmen  ,them,tāmen  them
忙 ,máng  ,busy ,máng  busy 
进去 ,jìnqù  ,go in,jìnqù  go in
抓 ,zhuā  ,grasp ,zhuā  grasp 
女士 ,nǚshì  ,miss ,nǚshì  miss 
原因 ,yuányīn  ,reason ,yuányīn  reason 
刚才 ,gāngcái  ,just now ,gāngcái  just now 
保护 ,bǎohù  ,protect ,bǎohù  protect 
是因为 ,shìyīnwéi  ,it's because,shìyīnwéi  it's because
选择 ,xuǎnzé  ,choose ,xuǎnzé  choose 
妳 ,nǐ  ,you ,nǐ  you 
几个 ,jǐge  ,several,jǐge  several
笑 ,xiào  ,laugh,xiào  laugh
关系 ,guānxi  ,relation ,guānxi  relation 
从来 ,cónglái  ,never,cónglái  never
他会 ,tāhuì  ,he will,tāhuì  he will
当时 ,dàngshí  ,at that time,dàngshí  at that time
出现 ,chūxiàn  ,appear ,chūxiàn  appear 
结婚 ,jiéhūn  ,marry ,jiéhūn  marry 
些 ,xiē  ,some ,xiē  some 
至少 ,zhìshǎo  ,at least ,zhìshǎo  at least 
还要 ,huányào  ,more,huányào  more
挺 ,tǐng  ,quite ,tǐng  quite 
成功 ,chénggōng  ,success ,chénggōng  success 
奇怪 ,qíguài  ,strangeness ,qíguài  strangeness 
虽然 ,suīrán  ,although ,suīrán  although 
忘 ,wàng  ,forget ,wàng  forget 
太好了 ,tàihǎole  ,very good ,tàihǎole  very good 
身上 ,shēnshang  ,body,shēnshang  body
或许 ,huòxǔ  ,maybe,huòxǔ  maybe
讲 ,jiǎng  ,speak ,jiǎng  speak 
你們 ,nǐmen  ,you ,nǐmen  you 
岁 ,suì  ,age ,suì  age 
有个 ,yǒugè  ,there is one,yǒugè  there is one
保证 ,bǎozhèng  ,ensure ,bǎozhèng  ensure 
外面 ,wàimiàn  ,outside ,wàimiàn  outside 
丈夫 ,zhàngfu  ,husband ,zhàngfu  husband 
连 ,lián  ,even ,lián  even 
国家 ,guójiā  ,nation ,guójiā  nation 
整个 ,zhěnggè  ,whole,zhěnggè  whole
特别 ,tèbié  ,special ,tèbié  special 
那种 ,nàzhǒng  ,that kind,nàzhǒng  that kind
不同 ,bùtóng  ,different ,bùtóng  different 
著 ,zhe  ,write ,zhe  write 
很快 ,hěnkuài  ,soon ,hěnkuài  soon 
变成 ,biànchéng  ,become,biànchéng  become
够 ,gòu  ,enough,gòu  enough
难道 ,nándào  ,could it be,nándào  could it be
学校 ,xuéxiào  ,school ,xuéxiào  school 
一件 ,yījiàn  ,one piece,yījiàn  one piece
样子 ,yàngzi  ,appearance,yàngzi  appearance
倒 ,dǎo  ,fall ,dǎo  fall 
电影 ,diànyǐng  ,movie ,diànyǐng  movie 
谈谈 ,tántán  ,talk,tántán  talk
危险 ,wēixiǎn  ,danger ,wēixiǎn  danger 
开心 ,kāixīn  ,happy ,kāixīn  happy 
别的 ,biéde  ,others,biéde  others
这件 ,zhèjiàn  ,this piece,zhèjiàn  this piece
才能 ,cáinéng  ,talent,cáinéng  talent
闭嘴 ,bìzuǐ  ,shut up ,bìzuǐ  shut up 
正 ,zhèng  ,just ,zhèng  just 
进行 ,jìnxíng  ,conduct ,jìnxíng  conduct 
照片 ,zhàopiàn  ,photo ,zhàopiàn  photo 
